time,filtered_pose/dx,filtered_pose/dy,filtered_pose/dz,filtered_pose/p,filtered_pose/pitch,filtered_pose/q,filtered_pose/r,filtered_pose/roll,filtered_pose/timestamp,filtered_pose/vxb,filtered_pose/vyb,filtered_pose/x,filtered_pose/xb,filtered_pose/y,filtered_pose/yaw,filtered_pose/yb,filtered_pose/z,u_control/timestamp,u_control/ux,u_control/uy,u_control/uyaw,u_control/uz
1749762456.421702,-0.007895120,0.009280770,-0.112956000,-0.012031800,-0.029338600,0.012795700,-0.000790793,-0.009976210,1749762456.421701908,0.005929071,-0.010644798,0.240139000,-0.084068688,-0.774878000,-2.944890000,0.806867467,1.481680000,,,,,
1749762456.431680,-0.007707720,0.009712310,-0.111502000,-0.014316000,-0.029249100,0.012531100,0.002620360,-0.010428400,1749762456.431679964,0.005655540,-0.011034164,0.240087000,-0.083652688,-0.774723000,-2.944400000,0.806746380,1.480770000,,,,,
1749762456.441746,-0.007735900,0.010055600,-0.110191000,-0.015877000,-0.029348100,0.010987000,0.002376660,-0.010798300,1749762456.441745996,0.005616031,-0.011376266,0.240006000,-0.083610123,-0.774576000,-2.944410000,0.806585524,1.479840000,,,,,
1749762456.451726,-0.007769950,0.010457700,-0.108820000,-0.015384700,-0.029579800,0.008635950,0.000976369,-0.010885600,1749762456.451725960,0.005572767,-0.011776242,0.239924000,-0.083706014,-0.774417000,-2.944590000,0.806398486,1.478940000,,,,,
1749762456.461738,-0.007495550,0.010931700,-0.107205000,-0.012962500,-0.030137200,0.004205310,-0.000677477,-0.010687500,1749762456.461738110,0.005213701,-0.012186167,0.239886000,-0.083888040,-0.774244000,-2.944820000,0.806202122,1.478090000,,,,,
1749762456.471706,-0.006760400,0.011411900,-0.105565000,-0.012356900,-0.030154000,0.003799980,-0.001814300,-0.010729200,1749762456.471705914,0.004400983,-0.012512626,0.239918000,-0.084091637,-0.774064000,-2.944990000,0.806017568,1.477250000,,,,,
1749762456.481870,-0.006059960,0.011729300,-0.103201000,-0.011719700,-0.030172200,0.003413150,-0.002788790,-0.010760200,1749762456.481869936,0.003654065,-0.012686505,0.239952000,-0.084285174,-0.773904000,-2.945150000,0.805853816,1.476540000,,,,,
1749762456.491420,-0.005577310,0.012199500,-0.101370000,-0.014920900,-0.029801800,0.005727850,-0.000683223,-0.011342400,1749762456.491420031,0.003085269,-0.013054321,0.239961000,-0.084104518,-0.773719000,-2.944870000,0.805697712,1.475770000,,,,,
1749762456.501928,-0.005319130,0.012606700,-0.099376000,-0.015958900,-0.029805400,0.005308890,0.002235940,-0.011642400,1749762456.501928091,0.002746983,-0.013404332,0.239943000,-0.083791973,-0.773538000,-2.944460000,0.805551107,1.475050000,,,,,
1749762456.511705,-0.005047070,0.012849900,-0.096758300,-0.016722100,-0.029812200,0.004896810,0.004759730,-0.011912900,1749762456.511704922,0.002427259,-0.013590484,0.239930000,-0.083496846,-0.773376000,-2.944070000,0.805422323,1.474440000,,,,,
