__time,filtered_pose/dx,filtered_pose/dy,filtered_pose/dz,filtered_pose/p,filtered_pose/pitch,filtered_pose/q,filtered_pose/r,filtered_pose/roll,filtered_pose/timestamp,filtered_pose/vxb,filtered_pose/vyb,filtered_pose/x,filtered_pose/xb,filtered_pose/y,filtered_pose/yaw,filtered_pose/yb,filtered_pose/z,u_control/timestamp,u_control/ux,u_control/uy,u_control/uyaw,u_control/uz
1749762490.802205,-0.014852200,0.034974100,0.015777300,0.018215500,-0.006370980,0.009146950,0.043937300,-0.005117680,1749762490.802205086,-0.035650215,-0.013146774,-1.081410000,0.948335433,-1.001700000,-1.522510000,-1.128499174,1.544910000,,,,,
1749762490.812152,-0.014775600,0.034608200,0.014925100,0.018623300,-0.006124070,0.010216900,0.036606400,-0.004876290,1749762490.812151909,-0.035272923,-0.013109796,-1.081550000,0.948728590,-1.001400000,-1.523130000,-1.128036535,1.544950000,,,,,
1749762490.822168,-0.014751900,0.034302200,0.013897900,0.018337400,-0.005904250,0.011026700,0.030984300,-0.004731590,1749762490.822168112,-0.034960243,-0.013116437,-1.081690000,0.948929837,-1.001100000,-1.523580000,-1.127735178,1.544950000,,,,,
1749762490.832150,-0.014614900,0.034041200,0.012770100,0.015273400,-0.005888970,0.010372900,0.027096400,-0.004993360,1749762490.832149982,-0.034689688,-0.013000928,-1.081820000,0.948917244,-1.000800000,-1.523840000,-1.127604193,1.544920000,,,,,
1749762490.842089,-0.014622300,0.033714400,0.011677500,0.012360800,-0.005882210,0.009705430,0.022806900,-0.005263780,1749762490.842088938,-0.034359035,-0.013035686,-1.081960000,0.949005651,-1.000500000,-1.524190000,-1.127397874,1.544890000,,,,,
1749762490.851899,-0.014861700,0.033267200,0.010613200,0.009368480,-0.006071630,0.007733590,0.018732800,-0.005574890,1749762490.851898909,-0.033918686,-0.013307873,-1.082150000,0.949132958,-1.000230000,-1.524550000,-1.127233474,1.544850000,,,,,
1749762490.862189,-0.014998200,0.032777400,0.009728680,0.006986040,-0.006311630,0.005549290,0.013021800,-0.005827330,1749762490.862189054,-0.033426959,-0.013488601,-1.082310000,0.949599435,-0.999971000,-1.525200000,-1.126764327,1.544830000,,,,,
1749762490.872076,-0.015004300,0.032252400,0.008836690,0.006059990,-0.006550700,0.003521790,0.007024060,-0.005892010,1749762490.872076035,-0.032892770,-0.013542968,-1.082460000,0.950175507,-0.999720000,-1.525940000,-1.126199909,1.544800000,,,,,
1749762490.882202,-0.015016500,0.031745200,0.007915640,0.006313400,-0.006842160,0.001273210,-0.000249819,-0.005794600,1749762490.882201910,-0.032373306,-0.013609632,-1.082620000,0.951022948,-0.999471000,-1.526920000,-1.125417121,1.544750000,,,,,
1749762490.891801,-0.015039600,0.031351200,0.007026520,0.005654450,-0.007021350,-0.000047803,-0.005410070,-0.005827200,1749762490.891801119,-0.031970315,-0.013674293,-1.082770000,0.951611767,-0.999211000,-1.527680000,-1.124832672,1.544700000,,,,,
1749762490.902208,-0.015144100,0.030929800,0.006164980,0.005709550,-0.007103720,-0.000611494,-0.008222420,-0.005762650,1749762490.902208090,-0.031547461,-0.013811373,-1.082940000,0.951869070,-0.998958000,-1.528140000,-1.124553869,1.544650000,,,,,
1749762490.912078,-0.015549000,0.030466400,0.005327370,0.005766330,-0.007269300,-0.001709120,-0.009244940,-0.005697300,1749762490.912077904,-0.031098474,-0.014242818,-1.083150000,0.951877003,-0.998716000,-1.528370000,-1.124534456,1.544590000,,,,,
1749762490.922421,-0.015843700,0.029997300,0.004587090,0.006144460,-0.007182100,-0.000991247,-0.012849000,-0.005584700,1749762490.922420979,-0.030633409,-0.014575838,-1.083340000,0.952319055,-0.998480000,-1.528980000,-1.124133570,1.544540000,,,,,
1749762490.932149,-0.016216000,0.029495500,0.003854990,0.006137090,-0.007150050,-0.000702471,-0.014266600,-0.005524330,1749762490.932148933,-0.030142521,-0.014979040,-1.083560000,0.952465279,-0.998253000,-1.529320000,-1.124020115,1.544480000,,,,,
