__time,filtered_pose/dx,filtered_pose/dy,filtered_pose/dz,filtered_pose/p,filtered_pose/pitch,filtered_pose/q,filtered_pose/r,filtered_pose/roll,filtered_pose/timestamp,filtered_pose/vxb,filtered_pose/vyb,filtered_pose/x,filtered_pose/xb,filtered_pose/y,filtered_pose/yaw,filtered_pose/yb,filtered_pose/z,u_control/timestamp,u_control/ux,u_control/uy,u_control/uyaw,u_control/uz
1749762414.811322,-0.008918650,0.023974100,-0.007167560,-0.017333800,-0.009724640,0.005492320,-0.004936370,-0.017396900,1749762414.811321974,-0.023367287,-0.010405271,0.189957000,0.760623532,-0.774067000,-1.633580000,0.238149586,1.313920000,,,,,
1749762414.821062,-0.008701300,0.024117900,-0.006379090,-0.014910700,-0.009628040,0.005779200,-0.005841380,-0.017218200,1749762414.821062088,-0.023522605,-0.010201606,0.189900000,0.760323756,-0.773806000,-1.633760000,0.238213185,1.313960000,,,,,
1749762414.831430,-0.008383110,0.024314300,-0.005625750,-0.012950300,-0.009690870,0.004948940,-0.005930230,-0.017082500,1749762414.831429958,-0.023737845,-0.009898304,0.189859000,0.760038814,-0.773537000,-1.633840000,0.238216144,1.314010000,,,,,
1749762414.841360,-0.008097540,0.024516300,-0.004872960,-0.011642300,-0.009852770,0.003493890,-0.004245750,-0.017022000,1749762414.841360092,-0.023959264,-0.009621475,0.189817000,0.759814239,-0.773264000,-1.633650000,0.238012667,1.314060000,,,,,
1749762414.851434,-0.007879380,0.024681400,-0.004124250,-0.011324800,-0.009980870,0.002371720,-0.001971190,-0.017092300,1749762414.851433992,-0.024140470,-0.009407116,0.189767000,0.759617883,-0.772995000,-1.633360000,0.237725590,1.314120000,,,,,
1749762414.861391,-0.007639600,0.024831200,-0.003337170,-0.010670300,-0.009941780,0.002477500,-0.001717060,-0.017110400,1749762414.861391068,-0.024305152,-0.009176685,0.189723000,0.759356913,-0.772726000,-1.633340000,0.237649670,1.314200000,,,,,
1749762414.871396,-0.007381460,0.025013700,-0.002556970,-0.010543000,-0.009943240,0.002296890,-0.002628610,-0.017198600,1749762414.871396065,-0.024502090,-0.008934132,0.189685000,0.759050177,-0.772452000,-1.633490000,0.237708479,1.314280000,,,,,
1749762414.881369,-0.007123080,0.025191300,-0.001813660,-0.009244280,-0.009945340,0.002124350,-0.004532030,-0.017115400,1749762414.881369114,-0.024692835,-0.008695042,0.189648000,0.758703328,-0.772176000,-1.633800000,0.237889469,1.314360000,,,,,
1749762414.891596,-0.006557280,0.025343800,-0.001066420,-0.006904260,-0.009923480,0.002128640,-0.006121910,-0.016867900,1749762414.891596079,-0.024878458,-0.008146684,0.189659000,0.758364923,-0.771902000,-1.634070000,0.238087963,1.314450000,,,,,
1749762414.901599,-0.006061760,0.025596200,-0.000390344,-0.005821080,-0.009764640,0.003075430,-0.004161500,-0.016779600,1749762414.901598930,-0.025163372,-0.007662579,0.189666000,0.758126421,-0.771611000,-1.633850000,0.237909767,1.314540000,,,,,
