time,filtered_pose/dx,filtered_pose/dy,filtered_pose/dz,filtered_pose/p,filtered_pose/pitch,filtered_pose/q,filtered_pose/r,filtered_pose/roll,filtered_pose/timestamp,filtered_pose/vxb,filtered_pose/vyb,filtered_pose/x,filtered_pose/xb,filtered_pose/y,filtered_pose/yaw,filtered_pose/yb,filtered_pose/z,u_control/timestamp,u_control/ux,u_control/uy,u_control/uyaw,u_control/uz
1749760806.584475,-0.014098600,0.005829600,-0.049582400,0.008878030,-0.015407000,-0.005926400,0.002855590,0.014304500,1749760806.584475040,-0.014113520,0.005793385,-0.597589000,-0.596038789,-0.603051000,-0.002567350,-0.604583231,1.225510000,,,,,
1749760806.594899,-0.015321900,0.005340830,-0.048814900,0.005564630,-0.015107700,-0.003458120,0.002177160,0.013911900,1749760806.594898939,-0.015335932,0.005300402,-0.597908000,-0.596315426,-0.603064000,-0.002637360,-0.604638799,1.225120000,,,,,
1749760806.604456,-0.016299800,0.004821090,-0.047966200,0.004178350,-0.015132500,-0.003390930,0.001224190,0.013766100,1749760806.604455948,-0.016313016,0.004776181,-0.598203000,-0.596539811,-0.603086000,-0.002754040,-0.604731186,1.224760000,,,,,
1749760806.614479,-0.017051900,0.004251840,-0.046957700,0.003070400,-0.015384400,-0.004891320,0.000513744,0.013646900,1749760806.614479065,-0.017063928,0.004203310,-0.598476000,-0.596757698,-0.603120000,-0.002845010,-0.604820227,1.224430000,,,,,
1749760806.624334,-0.017564200,0.003737230,-0.045856400,0.001090030,-0.015788000,-0.007332410,0.000317057,0.013389900,1749760806.624334097,-0.017574848,0.003686833,-0.598721000,-0.596988428,-0.603152000,-0.002868450,-0.604866918,1.224120000,,,,,
1749760806.634524,-0.018069200,0.003308250,-0.044772200,-0.001018010,-0.016101400,-0.008985520,-0.000126492,0.013094600,1749760806.634524107,-0.018078815,0.003255298,-0.598970000,-0.597200292,-0.603177000,-0.002929720,-0.604929223,1.223810000,,,,,
1749760806.644472,-0.018734200,0.002870220,-0.043793900,-0.001958790,-0.016159800,-0.008768720,-0.001752250,0.012947700,1749760806.644471884,-0.018743196,0.002810871,-0.599247000,-0.597333535,-0.603208000,-0.003167170,-0.605102889,1.223510000,,,,,
1749760806.654669,-0.019565100,0.002426920,-0.042843400,-0.002243610,-0.016125800,-0.007931270,-0.003292950,0.012886800,1749760806.654669046,-0.019573259,0.002360218,-0.599555000,-0.597495346,-0.603244000,-0.003408530,-0.605284093,1.223210000,,,,,
1749760806.664288,-0.020520900,0.002042490,-0.041932400,-0.003818890,-0.015982900,-0.006401800,-0.003652740,0.012635500,1749760806.664288044,-0.020527911,0.001970783,-0.599890000,-0.597778663,-0.603275000,-0.003493730,-0.605367168,1.222910000,,,,,
1749760806.674290,-0.021584400,0.001677130,-0.040982600,-0.004404150,-0.015868300,-0.005172360,-0.003128040,0.012512200,1749760806.674289942,-0.021590064,0.001602567,-0.600249000,-0.598161580,-0.603308000,-0.003454030,-0.605377675,1.222630000,,,,,
1749760806.684584,-0.022426500,0.001215930,-0.039995000,-0.004174000,-0.015730500,-0.003867820,-0.001226330,0.012501600,1749760806.684583902,-0.022430286,0.001143957,-0.600587000,-0.598647717,-0.603358000,-0.003209030,-0.605282192,1.222370000,,,,,
1749760806.694554,-0.023138400,0.000714886,-0.039020400,-0.002472850,-0.015623500,-0.002865080,0.001040540,0.012707000,1749760806.694554090,-0.023140371,0.000647968,-0.600915000,-0.599167426,-0.603419000,-0.002891960,-0.605154296,1.222110000,,,,,
1749760806.704440,-0.023944900,0.000118003,-0.038133400,-0.000422813,-0.015372300,-0.000938758,0.002463880,0.012980100,1749760806.704440117,-0.023945130,0.000053956,-0.601264000,-0.599647633,-0.603498000,-0.002674770,-0.605104082,1.221850000,,,,,
1749760806.714303,-0.024720400,-0.000427782,-0.037298400,0.001418340,-0.014924100,0.002211400,0.002636240,0.013243400,1749760806.714303017,-0.024719192,-0.000492674,-0.601616000,-0.600029488,-0.603576000,-0.002625090,-0.605153215,1.221590000,,,,,
1749760806.724283,-0.025249600,-0.000926323,-0.036497500,0.002484730,-0.014159100,0.007324640,0.003168230,0.013412500,1749760806.724282980,-0.025247184,-0.000989985,-0.601940000,-0.600416019,-0.603653000,-0.002521430,-0.605168829,1.221330000,,,,,
1749760806.734463,-0.025617500,-0.001385830,-0.035644100,0.002922160,-0.013353300,0.012367000,0.003929100,0.013500900,1749760806.734462976,-0.025614130,-0.001446775,-0.602246000,-0.600807899,-0.603729000,-0.002379210,-0.605160160,1.221090000,,,,,
