__time,filtered_pose/dx,filtered_pose/dy,filtered_pose/dz,filtered_pose/p,filtered_pose/pitch,filtered_pose/q,filtered_pose/r,filtered_pose/roll,filtered_pose/timestamp,filtered_pose/vxb,filtered_pose/vyb,filtered_pose/x,filtered_pose/xb,filtered_pose/y,filtered_pose/yaw,filtered_pose/yb,filtered_pose/z,u_control/timestamp,u_control/ux,u_control/uy,u_control/uyaw,u_control/uz
1749760931.535391,0.004984340,-0.002880090,0.004534760,0.003781640,-0.013447700,0.010132200,0.007749750,0.012483200,1749760931.535391092,0.005079968,-0.002707858,-1.276850000,-1.258459209,-0.515635000,-0.034223000,-0.559022178,1.264340000,,,,,
1749760931.545712,0.004504380,-0.003256120,0.004684560,0.000127099,-0.012925300,0.013030400,0.007292300,0.011990100,1749760931.545711994,0.004613121,-0.003100141,-1.276870000,-1.258482507,-0.515718000,-0.034212000,-0.559091971,1.264400000,,,,,
1749760931.555662,0.003950220,-0.003580590,0.004886240,-0.002097910,-0.012270400,0.016641200,0.007796380,0.011668100,1749760931.555661917,0.004069880,-0.003443971,-1.276900000,-1.258591491,-0.515798000,-0.034065800,-0.558988950,1.264480000,,,,,
1749760931.565690,0.003389930,-0.003803270,0.005023030,-0.003722310,-0.011637000,0.019855700,0.008540130,0.011411200,1749760931.565690041,0.003516814,-0.003686259,-1.276940000,-1.258733115,-0.515866000,-0.033879800,-0.558824158,1.264550000,,,,,
1749760931.575673,0.002918370,-0.004018560,0.005101960,-0.005380730,-0.010990000,0.022942600,0.008878010,0.011133000,1749760931.575673103,0.003052290,-0.003917810,-1.276980000,-1.258845914,-0.515935000,-0.033745300,-0.558725164,1.264610000,,,,,
1749760931.585392,0.002521440,-0.004340690,0.005134110,-0.007906200,-0.010341300,0.025828300,0.008249090,0.010712300,1749760931.585391998,0.002666466,-0.004253141,-1.277010000,-1.258871509,-0.516022000,-0.033747900,-0.558816399,1.264670000,,,,,
1749760931.595484,0.002087580,-0.004671450,0.005199740,-0.011118200,-0.009704860,0.028431200,0.007609900,0.010166600,1749760931.595484018,0.002244061,-0.004598329,-1.277050000,-1.258902569,-0.516114000,-0.033758300,-0.558922789,1.264730000,,,,,
1749760931.605827,0.001583580,-0.005017100,0.005284460,-0.013094000,-0.008873150,0.032199100,0.007673120,0.009768340,1749760931.605827093,0.001751591,-0.004960942,-1.277100000,-1.258996947,-0.516211000,-0.033673000,-0.558914031,1.264790000,,,,,
1749760931.615712,0.001112040,-0.005327110,0.005335440,-0.014994600,-0.008248670,0.034281100,0.008033010,0.009361280,1749760931.615711927,0.001290073,-0.005286818,-1.277150000,-1.259115822,-0.516306000,-0.033544000,-0.558848239,1.264850000,,,,,
1749760931.625716,0.000677480,-0.005632930,0.005320690,-0.016292100,-0.007697680,0.035714100,0.009170380,0.009022830,1749760931.625715971,0.000864637,-0.005607253,-1.277200000,-1.259299747,-0.516404000,-0.033298400,-0.558638594,1.264900000,,,,,
1749760931.635489,0.000288294,-0.005948600,0.005322900,-0.019077400,-0.007008600,0.037998800,0.010150400,0.008455260,1749760931.635488987,0.000484787,-0.005935818,-1.277250000,-1.259477090,-0.516506000,-0.033064300,-0.558447374,1.264960000,,,,,
1749760931.645819,-0.000087895,-0.006201170,0.005305450,-0.021194200,-0.006277400,0.040416300,0.011152100,0.007956950,1749760931.645818949,0.000115621,-0.006200715,-1.277300000,-1.259661812,-0.516602000,-0.032817300,-0.558233855,1.265010000,,,,,
1749760931.655772,-0.000427364,-0.006414460,0.005270290,-0.023653900,-0.005536890,0.042731400,0.011792800,0.007387650,1749760931.655771971,-0.000217981,-0.006424984,-1.277350000,-1.259822941,-0.516695000,-0.032612700,-0.558070697,1.265050000,,,,,
1749760931.665817,-0.000699421,-0.006588490,0.005242700,-0.025709100,-0.004995590,0.043516000,0.012099700,0.006852530,1749760931.665817022,-0.000485292,-0.006607714,-1.277400000,-1.259960664,-0.516785000,-0.032450200,-0.557957544,1.265100000,,,,,
1749760931.675743,-0.001021070,-0.006762850,0.005225020,-0.027150700,-0.004570690,0.043445400,0.012122700,0.006386010,1749760931.675743103,-0.000801960,-0.006792318,-1.277450000,-1.260077097,-0.516876000,-0.032325800,-0.557893369,1.265150000,,,,,
1749760931.685728,-0.001306970,-0.006944200,0.005141490,-0.028603500,-0.004133270,0.043465800,0.011497600,0.005903430,1749760931.685728073,-0.001082062,-0.006982781,-1.277500000,-1.260140995,-0.516970000,-0.032295400,-0.557950627,1.265190000,,,,,
1749760931.695690,-0.001622000,-0.007051390,0.005093160,-0.029071400,-0.003503550,0.044808400,0.010739300,0.005549420,1749760931.695689917,-0.001393500,-0.007100080,-1.277560000,-1.260200898,-0.517055000,-0.032290600,-0.558031472,1.265240000,,,,,
1749760931.705685,-0.001980410,-0.007155560,0.005027170,-0.028819900,-0.002795780,0.046595900,0.010165000,0.005295240,1749760931.705684900,-0.001748533,-0.007215726,-1.277630000,-1.260281456,-0.517140000,-0.032266700,-0.558088567,1.265280000,,,,,
1749760931.715775,-0.002280250,-0.007212670,0.004955450,-0.027871800,-0.002080260,0.048313700,0.009729870,0.005144790,1749760931.715775013,-0.002046655,-0.007282400,-1.277690000,-1.260360332,-0.517220000,-0.032228200,-0.558121937,1.265320000,,,,,
1749760931.725992,-0.002642510,-0.007327510,0.004749630,-0.027502100,-0.001524390,0.048814300,0.007626980,0.004919780,1749760931.725991964,-0.002403484,-0.007409354,-1.277770000,-1.260321176,-0.517309000,-0.032436400,-0.558475880,1.265340000,,,,,
1749760931.735671,-0.003117170,-0.007439960,0.004532770,-0.026600300,-0.000865005,0.049993000,0.004935650,0.004775770,1749760931.735671043,-0.002871874,-0.007538043,-1.277860000,-1.260232310,-0.517399000,-0.032751200,-0.558965500,1.265350000,,,,,
1749760931.745650,-0.003474240,-0.007589290,0.004242650,-0.025417700,-0.000321512,0.050292800,0.002585520,0.004681570,1749760931.745650053,-0.003221615,-0.007699926,-1.277950000,-1.260155817,-0.517495000,-0.033043200,-0.559432385,1.265360000,,,,,
1749760931.755646,-0.003742680,-0.007686150,0.003937290,-0.024018900,-0.000151751,0.047999600,0.001105190,0.004630620,1749760931.755645990,-0.003485231,-0.007806261,-1.278020000,-1.260116921,-0.517585000,-0.033232400,-0.559763073,1.265360000,,,,,
1749760931.766013,-0.003888860,-0.007892280,0.003727880,-0.024008100,0.000073060,0.046243100,0.000272617,0.004392000,1749760931.766012907,-0.003623600,-0.008017533,-1.278080000,-1.260111739,-0.517692000,-0.033342400,-0.560010623,1.265360000,,,,,
1749760931.776081,-0.003964270,-0.008064660,0.003523380,-0.023094400,0.000066928,0.043017900,0.000288899,0.004284660,1749760931.776081085,-0.003693263,-0.008192313,-1.278130000,-1.260161101,-0.517796000,-0.033337300,-0.560109805,1.265370000,,,,,
1749760931.785574,-0.003890890,-0.008200080,0.003249480,-0.020915500,-0.000111519,0.038828600,0.000830536,0.004370280,1749760931.785573959,-0.003616090,-0.008324916,-1.278160000,-1.260233460,-0.517896000,-0.033255700,-0.560107916,1.265370000,,,,,
1749760931.796081,-0.003839890,-0.008450730,0.002902030,-0.018328400,-0.000286253,0.034953300,0.000961229,0.004536980,1749760931.796081066,-0.003557018,-0.008573635,-1.278190000,-1.260274814,-0.518014000,-0.033228400,-0.560192443,1.265350000,,,,,
1749760931.806066,-0.003883910,-0.008646190,0.002513830,-0.015015800,-0.000493542,0.031120600,0.000942551,0.004834950,1749760931.806066036,-0.003594580,-0.008770425,-1.278240000,-1.260324898,-0.518127000,-0.033221500,-0.560298346,1.265320000,,,,,
1749760931.816010,-0.004027000,-0.008827500,0.002199870,-0.011666600,-0.000774967,0.027041400,-0.000573644,0.005171370,1749760931.816009998,-0.003729681,-0.008957174,-1.278290000,-1.260252954,-0.518240000,-0.033432300,-0.560678618,1.265300000,,,,,
1749760931.826038,-0.004178520,-0.008968120,0.001868600,-0.008053430,-0.001117710,0.022821000,-0.001330930,0.005579640,1749760931.826037884,-0.003875362,-0.009103229,-1.278360000,-1.260254324,-0.518349000,-0.033548100,-0.560935838,1.265280000,,,,,
1749760931.835800,-0.004345650,-0.009119490,0.001534380,-0.005501410,-0.001294610,0.020032500,-0.002876030,0.005869870,1749760931.835799932,-0.004035118,-0.009261079,-1.278420000,-1.260177114,-0.518460000,-0.033785900,-0.561348474,1.265250000,,,,,
1749760931.846079,-0.004287470,-0.009388560,0.001142370,-0.004083620,-0.001369470,0.018138400,-0.004342550,0.006020830,1749760931.846079111,-0.003965579,-0.009528990,-1.278460000,-1.260076863,-0.518591000,-0.034027700,-0.561785453,1.265200000,,,,,
1749760931.855981,-0.004181500,-0.009622380,0.000825404,-0.003259970,-0.001529360,0.015789300,-0.005227990,0.006099660,1749760931.855981112,-0.003850036,-0.009759732,-1.278490000,-1.260005801,-0.518718000,-0.034199800,-0.562130256,1.265170000,,,,,
1749760931.865782,-0.003941080,-0.009790260,0.000416076,-0.002638430,-0.001984440,0.011570100,-0.005578850,0.006157360,1749760931.865782022,-0.003602992,-0.009919665,-1.278490000,-1.259943633,-0.518839000,-0.034303000,-0.562381214,1.265120000,,,,,
1749760931.875985,-0.003671560,-0.009904730,0.000019200,-0.002547120,-0.002506590,0.007179660,-0.004970300,0.006144240,1749760931.875984907,-0.003330032,-0.010024715,-1.278490000,-1.259958025,-0.518954000,-0.034270400,-0.562455072,1.265060000,,,,,
1749760931.885738,-0.003475670,-0.009944370,-0.000356872,-0.002261850,-0.002985880,0.003386450,-0.004946540,0.006160210,1749760931.885737896,-0.003132434,-0.010057765,-1.278500000,-1.259938465,-0.519058000,-0.034316600,-0.562617564,1.265010000,,,,,
1749760931.895684,-0.003337760,-0.009912070,-0.000687418,-0.001943520,-0.003403750,0.000277130,-0.005602370,0.006183840,1749760931.895684004,-0.002994262,-0.010021186,-1.278520000,-1.259873699,-0.519153000,-0.034461400,-0.562895629,1.264960000,,,,,
1749760931.905730,-0.003345960,-0.009846550,-0.000979272,-0.001081160,-0.003650450,-0.001440030,-0.005822810,0.006289690,1749760931.905730009,-0.003003839,-0.009956252,-1.278550000,-1.259851033,-0.519243000,-0.034549400,-0.563097479,1.264910000,,,,,
1749760931.915724,-0.003471790,-0.009729190,-0.001260480,-0.000339166,-0.003791410,-0.002311170,-0.005841410,0.006386680,1749760931.915724039,-0.003133047,-0.009843499,-1.278600000,-1.259863849,-0.519324000,-0.034610400,-0.563257010,1.264860000,,,,,
1749760931.925747,-0.003640000,-0.009645280,-0.001595690,0.000340456,-0.003839430,-0.002482600,-0.005733030,0.006482020,1749760931.925746918,-0.003303644,-0.009765601,-1.278660000,-1.259896872,-0.519409000,-0.034653000,-0.563397708,1.264800000,,,,,
1749760931.935842,-0.003847340,-0.009498470,-0.001962010,0.000898399,-0.003878010,-0.002577270,-0.006127230,0.006566490,1749760931.935842037,-0.003514842,-0.009626466,-1.278730000,-1.259899649,-0.519484000,-0.034767600,-0.563619476,1.264730000,,,,,
1749760931.945703,-0.004152600,-0.009518780,-0.002368650,0.001772990,-0.003667910,-0.000953738,-0.007385630,0.006702530,1749760931.945703030,-0.003816855,-0.009658306,-1.278810000,-1.259838552,-0.519582000,-0.035011700,-0.564027741,1.264650000,,,,,
1749760931.955726,-0.004452440,-0.009528250,-0.002797000,0.003266110,-0.003411960,0.000873658,-0.008651640,0.006937190,1749760931.955725908,-0.004113684,-0.009679327,-1.278900000,-1.259779628,-0.519679000,-0.035269500,-0.564452622,1.264560000,,,,,
1749760931.965553,-0.004669730,-0.009552670,-0.003264670,0.005469010,-0.003422220,0.000742900,-0.010186900,0.007289890,1749760931.965553045,-0.004326971,-0.009712734,-1.278970000,-1.259671247,-0.519778000,-0.035579100,-0.564944050,1.264470000,,,,,
1749760931.975721,-0.004806740,-0.009576820,-0.003754310,0.007332050,-0.003421610,0.000695915,-0.011310700,0.007615240,1749760931.975720882,-0.004460453,-0.009742925,-1.279040000,-1.259587843,-0.519877000,-0.035844200,-0.565379414,1.264360000,,,,,
1749760931.985764,-0.004881010,-0.009574750,-0.004181270,0.009515460,-0.003483730,0.000220481,-0.011682200,0.008005780,1749760931.985764027,-0.004533121,-0.009744276,-1.279100000,-1.259549892,-0.519972000,-0.036011300,-0.565686982,1.264260000,,,,,
1749760931.995741,-0.004872740,-0.009529230,-0.004539400,0.012240800,-0.003694040,-0.001242310,-0.011599400,0.008496880,1749760931.995740891,-0.004525479,-0.009698962,-1.279140000,-1.259527361,-0.520061000,-0.036116100,-0.565909366,1.264170000,,,,,
1749760932.005778,-0.004814360,-0.009553500,-0.004849050,0.014729300,-0.004081270,-0.003822200,-0.009822420,0.008980810,1749760932.005778074,-0.004467643,-0.009720473,-1.279180000,-1.259644234,-0.520160000,-0.035973900,-0.565830630,1.264080000,,,,,
