__time,filtered_pose/dx,filtered_pose/dy,filtered_pose/dz,filtered_pose/p,filtered_pose/pitch,filtered_pose/q,filtered_pose/r,filtered_pose/roll,filtered_pose/timestamp,filtered_pose/vxb,filtered_pose/vyb,filtered_pose/x,filtered_pose/xb,filtered_pose/y,filtered_pose/yaw,filtered_pose/yb,filtered_pose/z,u_control/timestamp,u_control/ux,u_control/uy,u_control/uyaw,u_control/uz
1749761518.345673,-0.011278800,-0.031090400,-0.001030120,0.007164140,-0.015277200,0.029704800,0.017998200,-0.016894000,1749761518.345673084,0.031987837,-0.008402533,0.942429000,0.967442993,-1.057600000,-1.661930000,1.034767721,1.245640000,,,,,
1749761518.355855,-0.012072500,-0.031255000,0.000303249,0.003935870,-0.015539400,0.025855600,0.020734400,-0.017291400,1749761518.355854988,0.032218750,-0.009196326,0.942201000,0.968381921,-1.057930000,-1.661360000,1.034018890,1.245820000,,,,,
1749761518.358516,,,,,,,,,,,,,,,,,,1749761518.358515978,0.000000000,0.300000000,0.000000000,0.000000000
1749761518.365137,-0.012693400,-0.031405800,0.001727460,0.000037351,-0.015828000,0.022089400,0.023195000,-0.017818400,1749761518.365137100,0.032419495,-0.009819524,0.941990000,0.969328742,-1.058270000,-1.660790000,1.033287155,1.246030000,,,,,
1749761518.374877,-0.013363400,-0.031489400,0.003163010,-0.002584780,-0.016150800,0.018346900,0.024623700,-0.018199000,1749761518.374876976,0.032558357,-0.010493626,0.941765000,0.970122134,-1.058590000,-1.660350000,1.032665070,1.246260000,,,,,
1749761518.378594,,,,,,,,,,,,,,,,,,1749761518.378593922,0.000000000,0.300000000,0.000000000,0.000000000
1749761518.385108,-0.013988200,-0.031672300,0.004544210,-0.004785650,-0.016596400,0.014016700,0.023052500,-0.018544600,1749761518.385107994,0.032796180,-0.011100221,0.941541000,0.970501454,-1.058930000,-1.660330000,1.032452966,1.246490000,,,,,
1749761518.395092,-0.014464300,-0.031895800,0.005974120,-0.007215550,-0.017100100,0.009585190,0.018941900,-0.018945500,1749761518.395092010,0.033065628,-0.011542196,0.941332000,0.970486731,-1.059280000,-1.660700000,1.032635249,1.246740000,,,,,
1749761518.398591,,,,,,,,,,,,,,,,,,1749761518.398591042,0.000000000,0.300000000,0.000000000,0.000000000
1749761518.405135,-0.014742300,-0.032088100,0.007537600,-0.010028300,-0.017731900,0.004576560,0.015025200,-0.019426200,1749761518.405134916,0.033286593,-0.011789160,0.941147000,0.970459514,-1.059630000,-1.661080000,1.032851269,1.247030000,,,,,
1749761518.415120,-0.014824600,-0.032323300,0.009082960,-0.014081500,-0.018388500,-0.000258061,0.011952900,-0.020115400,1749761518.415119886,0.033531809,-0.011839860,0.940988000,0.970522522,-1.059990000,-1.661380000,1.033016578,1.247330000,,,,,
1749761518.418581,,,,,,,,,,,,,,,,,,1749761518.418581009,0.000000000,0.300000000,0.000000000,0.000000000
1749761518.425226,-0.014739600,-0.032643400,0.010691500,-0.020651200,-0.019338200,-0.006777330,0.009467300,-0.021210700,1749761518.425225973,0.033845721,-0.011718130,0.940852000,0.970655381,-1.060360000,-1.661620000,1.033147592,1.247650000,,,,,
1749761518.435199,-0.014793200,-0.032978200,0.012177800,-0.028301900,-0.020424900,-0.013790500,0.009492970,-0.022528700,1749761518.435199022,0.034182828,-0.011744561,0.940697000,0.971141212,-1.060730000,-1.661520000,1.032929681,1.247980000,,,,,
1749761518.438589,,,,,,,,,,,,,,,,,,1749761518.438589096,0.000000000,0.300000000,0.000000000,0.000000000
1749761518.445134,-0.015031100,-0.033269100,0.013502800,-0.034997600,-0.021578600,-0.020782600,0.011362100,-0.023784500,1749761518.445133924,0.034489659,-0.011967889,0.940514000,0.971908332,-1.061100000,-1.661150000,1.032421420,1.248290000,,,,,
1749761518.455165,-0.015264000,-0.033621200,0.014745300,-0.040072800,-0.022576000,-0.026217100,0.013750000,-0.024871800,1749761518.455164909,0.034855737,-0.012184104,0.940330000,0.972788087,-1.061490000,-1.660690000,1.031825987,1.248610000,,,,,
1749761518.458592,,,,,,,,,,,,,,,,,,1749761518.458591938,0.000000000,0.300000000,0.000000000,0.000000000
1749761518.465124,-0.015497900,-0.033985700,0.015938300,-0.043676500,-0.023650200,-0.031806700,0.014540600,-0.025796100,1749761518.465123892,0.035236666,-0.012393147,0.940143000,0.973451188,-1.061880000,-1.660440000,1.031431423,1.248930000,,,,,
1749761518.475116,-0.015828600,-0.034322500,0.017058900,-0.046442100,-0.024821600,-0.037680300,0.014387900,-0.026634600,1749761518.475116014,0.035600196,-0.012696640,0.939940000,0.973971580,-1.062260000,-1.660320000,1.031146388,1.249250000,,,,,
1749761518.478590,,,,,,,,,,,,,,,,,,1749761518.478590012,0.000000000,0.300000000,0.000000000,0.000000000
1749761518.485130,-0.015898600,-0.034607700,0.018050700,-0.049777300,-0.025998600,-0.043188000,0.014818100,-0.027583600,1749761518.485130072,0.035887835,-0.012748398,0.939772000,0.974591529,-1.062650000,-1.660110000,1.030809287,1.249560000,,,,,
1749761518.495455,-0.016058200,-0.034800000,0.018921400,-0.052035700,-0.027339900,-0.049447800,0.014177100,-0.028409500,1749761518.495455027,0.036092831,-0.012892375,0.939590000,0.975038126,-1.063020000,-1.660050000,1.030602514,1.249870000,,,,,
1749761518.498583,,,,,,,,,,,,,,,,,,1749761518.498583078,0.000000000,0.300000000,0.000000000,0.000000000
1749761518.505137,-0.016331600,-0.035002200,0.019727300,-0.052026100,-0.028661800,-0.055143400,0.013559900,-0.028928400,1749761518.505136967,0.036317938,-0.013148480,0.939389000,0.975486050,-1.063400000,-1.660000000,1.030387412,1.250180000,,,,,
1749761518.515159,-0.016399600,-0.035244900,0.020638700,-0.048179500,-0.029578000,-0.057654200,0.012895600,-0.028889800,1749761518.515158892,0.036565203,-0.013196051,0.939216000,0.975931120,-1.063790000,-1.659960000,1.030210807,1.250510000,,,,,
1749761518.518583,,,,,,,,,,,,,,,,,,1749761518.518583059,0.000000000,0.300000000,0.000000000,0.000000000
1749761518.525116,-0.016513600,-0.035488600,0.021434500,-0.043189400,-0.030535800,-0.060278000,0.010717700,-0.028646700,1749761518.525115967,0.036820610,-0.013280902,0.939036000,0.976129909,-1.064170000,-1.660150000,1.030250843,1.250830000,,,,,
1749761518.535198,-0.016452300,-0.035488200,0.022072500,-0.035467000,-0.031280600,-0.061255500,0.009597850,-0.027956600,1749761518.535197973,0.036815535,-0.013217673,0.938879000,0.976440673,-1.064530000,-1.660210000,1.030185182,1.251140000,,,,,
1749761518.538621,,,,,,,,,,,,,,,,,,1749761518.538620949,0.000000000,0.300000000,0.000000000,0.000000000
1749761518.545155,-0.016170600,-0.035540900,0.022658400,-0.027375800,-0.032156900,-0.063071100,0.008665930,-0.027135800,1749761518.545155048,0.036843388,-0.012930919,0.938756000,0.976769014,-1.064890000,-1.660250000,1.030133891,1.251440000,,,,,
1749761518.555160,-0.015836100,-0.035529000,0.023091500,-0.017633200,-0.032768800,-0.062941300,0.006992640,-0.025994100,1749761518.555160046,0.036803542,-0.012593299,0.938643000,0.976973191,-1.065240000,-1.660400000,1.030199167,1.251730000,,,,,
1749761518.558583,,,,,,,,,,,,,,,,,,1749761518.558583021,0.000000000,0.300000000,0.000000000,0.000000000
1749761518.565152,-0.015467000,-0.035470500,0.023398800,-0.004793220,-0.033359800,-0.062677200,0.003819540,-0.024305000,1749761518.565151930,0.036717016,-0.012216596,0.938538000,0.976929359,-1.065590000,-1.660790000,1.030506989,1.252010000,,,,,
1749761518.575121,-0.015162300,-0.035398700,0.023539700,0.007813800,-0.033684800,-0.060600000,0.000478581,-0.022521400,1749761518.575120926,0.036623482,-0.011903103,0.938427000,0.976824127,-1.065940000,-1.661240000,1.030867568,1.252260000,,,,,
1749761518.578585,,,,,,,,,,,,,,,,,,1749761518.578584909,0.000000000,0.300000000,0.000000000,0.000000000
1749761518.585109,-0.014897600,-0.035210300,0.023552900,0.020152200,-0.033802300,-0.057237500,-0.002042170,-0.020650700,1749761518.585108995,0.036416138,-0.011643392,0.938314000,0.976781880,-1.066260000,-1.661600000,1.031135641,1.252500000,,,,,
1749761518.595120,-0.014955900,-0.035062700,0.023411300,0.033444200,-0.033639100,-0.052174300,-0.003937500,-0.018518100,1749761518.595119953,0.036277946,-0.011703953,0.938157000,0.976815410,-1.066590000,-1.661900000,1.031302303,1.252710000,,,,,
1749761518.598583,,,,,,,,,,,,,,,,,,1749761518.598582983,0.000000000,0.300000000,0.000000000,0.000000000
1749761518.605103,-0.014877200,-0.034964700,0.023239200,0.050148100,-0.033434300,-0.047173900,-0.004730560,-0.015756900,1749761518.605103016,0.036174937,-0.011629069,0.938019000,0.977011864,-1.066930000,-1.662050000,1.031342371,1.252920000,,,,,
1749761518.615157,-0.014917500,-0.034840200,0.022990600,0.065661500,-0.033162300,-0.042054300,-0.006198860,-0.013001600,1749761518.615156889,0.036057663,-0.011671172,0.937864000,0.977086466,-1.067260000,-1.662310000,1.031472165,1.253120000,,,,,
1749761518.618593,,,,,,,,,,,,,,,,,,1749761518.618592978,0.000000000,0.300000000,0.000000000,0.000000000
1749761518.625098,-0.015066800,-0.034671300,0.022590000,0.080080400,-0.032939600,-0.037626500,-0.007176180,-0.010250200,1749761518.625097990,0.035905599,-0.011827743,0.937693000,0.977204153,-1.067580000,-1.662520000,1.031536360,1.253290000,,,,,
1749761518.635167,-0.015316900,-0.034477700,0.022174300,0.092175500,-0.032757500,-0.033783400,-0.006079990,-0.007692170,1749761518.635166883,0.035734632,-0.012097740,0.937506000,0.977632757,-1.067900000,-1.662430000,1.031291474,1.253460000,,,,,
1749761518.638597,,,,,,,,,,,,,,,,,,1749761518.638597012,0.000000000,0.300000000,0.000000000,0.000000000
1749761518.645169,-0.015707400,-0.034068900,0.021719400,0.103277000,-0.032645400,-0.030686300,-0.005069610,-0.005157620,1749761518.645169020,0.035362152,-0.012527192,0.937296000,0.978033552,-1.068190000,-1.662340000,1.031020872,1.253610000,,,,,
1749761518.655195,-0.016216600,-0.033770600,0.021126400,0.115333000,-0.032333200,-0.026425800,-0.004069560,-0.002373310,1749761518.655194998,0.035110475,-0.013064689,0.937065000,0.978446182,-1.068490000,-1.662250000,1.030730208,1.253740000,,,,,
1749761518.658628,,,,,,,,,,,,,,,,,,1749761518.658627987,0.000000000,0.300000000,0.000000000,0.000000000
1749761518.665145,-0.016843500,-0.033428700,0.020331400,0.127532000,-0.031991400,-0.022254000,-0.002519480,0.000552411,1749761518.665144920,0.034824648,-0.013726811,0.936812000,0.978943896,-1.068770000,-1.662060000,1.030317856,1.253840000,,,,,
1749761518.675220,-0.017674000,-0.033042900,0.019478700,0.137623000,-0.031551700,-0.017695900,-0.002361450,0.003293730,1749761518.675220013,0.034516289,-0.014588670,0.936523000,0.979238769,-1.069050000,-1.662070000,1.030065370,1.253920000,,,,,
1749761518.678629,,,,,,,,,,,,,,,,,,1749761518.678628922,0.000000000,0.300000000,0.000000000,0.000000000
1749761518.685153,-0.018501800,-0.032646200,0.018598700,0.145643000,-0.031031800,-0.012899200,-0.003229130,0.005835090,1749761518.685153008,0.034199009,-0.015444053,0.936226000,0.979380235,-1.069320000,-1.662220000,1.029941134,1.253990000,,,,,
1749761518.695262,-0.019784600,-0.032239600,0.017573200,0.154185000,-0.030470600,-0.008147910,-0.002455230,0.008532560,1749761518.695261955,0.033909881,-0.016761329,0.935855000,0.979765343,-1.069590000,-1.662140000,1.029517956,1.254020000,,,,,
1749761518.698601,,,,,,,,,,,,,,,,,,1749761518.698601007,0.000000000,0.300000000,0.000000000,0.000000000
1749761518.705154,-0.021023300,-0.031753900,0.016431900,0.162656000,-0.029719400,-0.002417070,-0.001548500,0.011305100,1749761518.705153942,0.033537212,-0.018042858,0.935477000,0.980161983,-1.069840000,-1.662030000,1.029056524,1.254030000,,,,,
1749761518.715266,-0.022241300,-0.031251600,0.015233100,0.170697000,-0.028915200,0.003285330,-0.001581250,0.014099900,1749761518.715265989,0.033148355,-0.019300893,0.935090000,0.980425628,-1.070090000,-1.662050000,1.028713519,1.254020000,,,,,
1749761518.718584,,,,,,,,,,,,,,,,,,1749761518.718584061,0.000000000,0.300000000,0.000000000,0.000000000
1749761518.725277,-0.023364500,-0.030782500,0.014022000,0.176717000,-0.028213200,0.007890730,-0.003287740,0.016681400,1749761518.725276947,0.032788880,-0.020453643,0.934704000,0.980432400,-1.070330000,-1.662310000,1.028605943,1.254000000,,,,,
1749761518.735353,-0.024720900,-0.030328500,0.012830700,0.181526000,-0.027589000,0.011644400,-0.004639120,0.019147200,1749761518.735352993,0.032465759,-0.021838390,0.934273000,0.980474271,-1.070570000,-1.662540000,1.028424215,1.253970000,,,,,
1749761518.738601,,,,,,,,,,,,,,,,,,1749761518.738600969,0.000000000,0.300000000,0.000000000,0.000000000
1749761518.745245,-0.026138500,-0.029786300,0.011643200,0.186349000,-0.026754500,0.016587000,-0.006257870,0.021663100,1749761518.745244980,0.032062236,-0.023290725,0.933820000,0.980456929,-1.070800000,-1.662820000,1.028268760,1.253920000,,,,,
1749761518.755193,-0.027690200,-0.029258000,0.010530000,0.189096000,-0.025838600,0.021749600,-0.006530960,0.023925800,1749761518.755192995,0.031681500,-0.024880922,0.933333000,0.980607686,-1.071020000,-1.662930000,1.027911910,1.253880000,,,,,
1749761518.758596,,,,,,,,,,,,,,,,,,1749761518.758595943,0.000000000,0.300000000,0.000000000,0.000000000
1749761518.765182,-0.029544100,-0.028768100,0.009374310,0.192085000,-0.024862500,0.026970900,-0.007489270,0.026251000,1749761518.765182018,0.031369597,-0.026765759,0.932787000,0.980671489,-1.071240000,-1.663130000,1.027584622,1.253810000,,,,,
1749761518.775250,-0.031566700,-0.028341900,0.008171040,0.195313000,-0.024103400,0.030339700,-0.007161860,0.028640900,1749761518.775249958,0.031132565,-0.028818106,0.932198000,0.980924006,-1.071470000,-1.663160000,1.027048766,1.253730000,,,,,
1749761518.778600,,,,,,,,,,,,,,,,,,1749761518.778599977,0.000000000,0.300000000,0.000000000,0.000000000
1749761518.785245,-0.034219700,-0.027778000,0.006832850,0.193177000,-0.022726800,0.037726700,-0.007464710,0.030283700,1749761518.785244942,0.030819228,-0.031508417,0.931497000,0.981074902,-1.071670000,-1.663270000,1.026477125,1.253620000,,,,,
1749761518.795257,-0.037140600,-0.027228900,0.005452940,0.188792000,-0.021283800,0.045061800,-0.007870660,0.031578300,1749761518.795257092,0.030547021,-0.034463266,0.930730000,0.981201261,-1.071870000,-1.663410000,1.025869248,1.253490000,,,,,
1749761518.798588,,,,,,,,,,,,,,,,,,1749761518.798588037,0.000000000,0.300000000,0.000000000,0.000000000
1749761518.805265,-0.040020700,-0.026920200,0.004055110,0.185014000,-0.019982400,0.050918400,-0.007751000,0.032917300,1749761518.805264950,0.030508241,-0.037357742,0.929940000,0.981431871,-1.072090000,-1.663470000,1.025161868,1.253340000,,,,,
1749761518.815214,-0.043100400,-0.026590400,0.002790330,0.180743000,-0.018842600,0.055258600,-0.004783460,0.034147000,1749761518.815213919,0.030450289,-0.040465711,0.929093000,0.982107965,-1.072320000,-1.663110000,1.023986294,1.253200000,,,,,
1749761518.818602,,,,,,,,,,,,,,,,,,1749761518.818602085,0.000000000,0.300000000,0.000000000,0.000000000
1749761518.825207,-0.045855600,-0.026327800,0.001699350,0.178827000,-0.017716000,0.059209800,-0.003659830,0.035676100,1749761518.825206995,0.030438033,-0.043236735,0.928261000,0.982516268,-1.072540000,-1.663000000,1.023070046,1.253070000,,,,,
1749761518.835267,-0.048745200,-0.026129100,0.000749521,0.175048000,-0.016502100,0.063489900,-0.004902900,0.036915400,1749761518.835267067,0.030516379,-0.046125643,0.927383000,0.982611177,-1.072780000,-1.663220000,1.022434072,1.252940000,,,,,
1749761518.838669,,,,,,,,,,,,,,,,,,1749761518.838669062,0.000000000,0.300000000,0.000000000,0.000000000
1749761518.845181,-0.051657500,-0.025921800,-0.000225362,0.171743000,-0.015477000,0.066175700,-0.005403690,0.038185600,1749761518.845180988,0.030584632,-0.049040976,0.926472000,0.982801680,-1.073010000,-1.663340000,1.021666131,1.252810000,,,,,
1749761518.855235,-0.054798800,-0.025657700,-0.001150630,0.168332000,-0.014451000,0.068682800,-0.007521170,0.039407500,1749761518.855235100,0.030630742,-0.052182216,0.925500000,0.982743041,-1.073230000,-1.663700000,1.021072475,1.252670000,,,,,
1749761518.858580,,,,,,,,,,,,,,,,,,1749761518.858580112,0.000000000,0.300000000,0.000000000,0.000000000
1749761518.865191,-0.058135900,-0.025474500,-0.001952790,0.165627000,-0.013713400,0.069032400,-0.007536170,0.040697800,1749761518.865190983,0.030762357,-0.055519460,0.924467000,0.982986272,-1.073460000,-1.663780000,1.020143909,1.252550000,,,,,
1749761518.875686,-0.061349600,-0.025344100,-0.002594340,0.162660000,-0.012965700,0.069426900,-0.006881280,0.041923000,1749761518.875685930,0.030929737,-0.058732003,0.923418000,0.983343017,-1.073700000,-1.663760000,1.019102058,1.252430000,,,,,
1749761518.878616,,,,,,,,,,,,,,,,,,1749761518.878616095,0.000000000,0.300000000,0.000000000,0.000000000
1749761518.885247,-0.064633700,-0.025259000,-0.003164890,0.158907000,-0.012365700,0.068778700,-0.005979670,0.043004400,1749761518.885246992,0.031146146,-0.062011691,0.922328000,0.983744246,-1.073940000,-1.663700000,1.017980021,1.252320000,,,,,
1749761518.895214,-0.067988400,-0.025263700,-0.003739050,0.150332000,-0.012041900,0.066272900,-0.005572270,0.043347800,1749761518.895214081,0.031462042,-0.065351488,0.921194000,0.984098369,-1.074190000,-1.663700000,1.016874104,1.252210000,,,,,
1749761518.898584,,,,,,,,,,,,,,,,,,1749761518.898583889,0.000000000,0.300000000,0.000000000,0.000000000
1749761518.905142,-0.071608100,-0.025265700,-0.004373350,0.145424000,-0.012076300,0.061474500,-0.005196570,0.044138000,1749761518.905142069,0.031799833,-0.068955393,0.919988000,0.984459171,-1.074440000,-1.663700000,1.015696497,1.252080000,,,,,
