__time,filtered_pose/dx,filtered_pose/dy,filtered_pose/dz,filtered_pose/p,filtered_pose/pitch,filtered_pose/q,filtered_pose/r,filtered_pose/roll,filtered_pose/timestamp,filtered_pose/vxb,filtered_pose/vyb,filtered_pose/x,filtered_pose/xb,filtered_pose/y,filtered_pose/yaw,filtered_pose/yb,filtered_pose/z,u_control/timestamp,u_control/ux,u_control/uy,u_control/uyaw,u_control/uz
1749762194.388902,0.004904940,-0.015321100,-0.029117300,-0.000453783,-0.005408900,-0.014719000,0.005243790,-0.019194500,1749762194.388901949,0.015165075,0.005367964,0.124701000,0.750580846,-0.754716000,-1.601170000,0.147563455,1.346930000,,,,,
1749762194.397001,,,,,,,,,,,,,,,,,,1749762194.397001028,0.000000000,0.000000000,0.000000000,0.000000000
1749762194.399112,0.004721250,-0.015476200,-0.029526500,0.000420847,-0.005103090,-0.011601000,0.003950540,-0.019071900,1749762194.399111986,0.015325007,0.005191061,0.124723000,0.750736904,-0.754892000,-1.601300000,0.147688387,1.346580000,,,,,
1749762194.408928,0.004653070,-0.015618900,-0.029866500,0.000468050,-0.004805850,-0.008756480,0.003189850,-0.019060900,1749762194.408927917,0.015469361,0.005128348,0.124760000,0.750901351,-0.755068000,-1.601370000,0.147783301,1.346230000,,,,,
1749762194.417086,,,,,,,,,,,,,,,,,,1749762194.417085886,0.000000000,0.000000000,0.009491870,0.000000000
1749762194.419172,0.004529830,-0.015686200,-0.030200300,0.002527150,-0.004558510,-0.006451250,0.000944867,-0.018757100,1749762194.419172049,0.015538894,0.005011885,0.124789000,0.751022007,-0.755234000,-1.601670000,0.148042675,1.345880000,,,,,
1749762194.428962,0.004341700,-0.015858300,-0.030700300,0.006541470,-0.004697320,-0.006962680,-0.000402864,-0.018148600,1749762194.428961992,0.015715850,0.004831986,0.124807000,0.751176701,-0.755416000,-1.601850000,0.148201499,1.345510000,,,,,
1749762194.437068,,,,,,,,,,,,,,,,,,1749762194.437067986,0.000000000,0.000000000,0.018967400,0.000000000
1749762194.439115,0.004613120,-0.016179500,-0.031254400,0.013702700,-0.005168490,-0.009726590,-0.003821320,-0.017042800,1749762194.439115047,0.016025858,0.005121422,0.124890000,0.751303299,-0.755621000,-1.602360000,0.148674008,1.345120000,,,,,
1749762194.449047,0.005176070,-0.016417200,-0.031733800,0.019339500,-0.005799520,-0.013400500,-0.007321990,-0.016086800,1749762194.449047089,0.016242598,0.005700365,0.125018000,0.751414696,-0.755817000,-1.602900000,0.149213915,1.344740000,,,,,
1749762194.457099,,,,,,,,,,,,,,,,,,1749762194.457098961,0.000000000,0.000000000,0.028410500,0.000000000
1749762194.459110,0.005651970,-0.016590000,-0.032054700,0.023622200,-0.006371840,-0.016417500,-0.009260210,-0.015271200,1749762194.459110022,0.016397807,0.006187470,0.125138000,0.751545936,-0.756006000,-1.603260000,0.149610486,1.344380000,,,,,
1749762194.469149,0.006006390,-0.016703300,-0.032230400,0.027101900,-0.007011240,-0.019688600,-0.010448400,-0.014529500,1749762194.469149113,0.016497841,0.006549670,0.125246000,0.751686380,-0.756189000,-1.603520000,0.149919812,1.344030000,,,,,
1749762194.477063,,,,,,,,,,,,,,,,,,1749762194.477062941,0.000000000,0.000000000,0.037804800,0.000000000
1749762194.478941,0.006262020,-0.016654000,-0.032098100,0.029894000,-0.007596890,-0.022364500,-0.011391100,-0.013852800,1749762194.478940964,0.016438571,0.006807496,0.125344000,0.751807061,-0.756349000,-1.603760000,0.150203433,1.343730000,,,,,
1749762194.489168,0.006138330,-0.016639700,-0.031940300,0.028548500,-0.008054810,-0.023977000,-0.009420260,-0.013749300,1749762194.489167929,0.016429491,0.006680609,0.125388000,0.751995054,-0.756513000,-1.603590000,0.150124977,1.343430000,,,,,
1749762194.497069,,,,,,,,,,,,,,,,,,1749762194.497068882,0.000000000,0.000000000,0.047134300,0.000000000
1749762194.499109,0.005809410,-0.016722900,-0.031681900,0.027396600,-0.008360720,-0.024432300,-0.006478800,-0.013631200,1749762194.499109030,0.016525527,0.006349140,0.125402000,0.752223005,-0.756692000,-1.603260000,0.149896613,1.343150000,,,,,
1749762194.509062,0.005515480,-0.016712100,-0.031349600,0.025375800,-0.008654490,-0.024772700,-0.004464850,-0.013650800,1749762194.509062052,0.016525665,0.006051214,0.125417000,0.752421893,-0.756857000,-1.603030000,0.149743908,1.342880000,,,,,
1749762194.517071,,,,,,,,,,,,,,,,,,1749762194.517071009,0.000000000,0.000000000,0.056383400,0.000000000
1749762194.519200,0.005253770,-0.016620300,-0.031076900,0.022934300,-0.009170380,-0.026618500,-0.001340020,-0.013751800,1749762194.519200087,0.016444719,0.005779940,0.125434000,0.752636605,-0.757011000,-1.602620000,0.149457294,1.342600000,,,,,
1749762194.528942,0.004864100,-0.016518400,-0.030739300,0.020811200,-0.009697830,-0.028416800,0.002499430,-0.013830900,1749762194.528942108,0.016358176,0.005378392,0.125430000,0.752868254,-0.757162000,-1.602080000,0.149051573,1.342340000,,,,,
1749762194.537081,,,,,,,,,,,,,,,,,,1749762194.537081003,0.000000000,0.000000000,0.065536400,0.000000000
1749762194.539192,0.004284570,-0.016458700,-0.030336200,0.017898400,-0.010111300,-0.029307000,0.006739380,-0.014045900,1749762194.539191961,0.016319699,0.004786835,0.125395000,0.753121491,-0.757319000,-1.601440000,0.148539534,1.342090000,,,,,
1749762194.549076,0.003811560,-0.016464600,-0.029859300,0.014864000,-0.010461500,-0.029699800,0.009254240,-0.014307800,1749762194.549076080,0.016341985,0.004307037,0.125369000,0.753352486,-0.757484000,-1.601000000,0.148187140,1.341860000,,,,,
1749762194.557092,,,,,,,,,,,,,,,,,,1749762194.557091951,0.000000000,0.000000000,0.074578100,0.000000000
1749762194.559089,0.003118710,-0.016469500,-0.029316200,0.011848300,-0.010648600,-0.028943500,0.010756100,-0.014597300,1749762194.559088945,0.016368926,0.003609577,0.125306000,0.753566196,-0.757650000,-1.600690000,0.147895584,1.341640000,,,,,
