__time,filtered_pose/dx,filtered_pose/dy,filtered_pose/dz,filtered_pose/p,filtered_pose/pitch,filtered_pose/q,filtered_pose/r,filtered_pose/roll,filtered_pose/timestamp,filtered_pose/vxb,filtered_pose/vyb,filtered_pose/x,filtered_pose/xb,filtered_pose/y,filtered_pose/yaw,filtered_pose/yb,filtered_pose/z,u_control/timestamp,u_control/ux,u_control/uy,u_control/uyaw,u_control/uz
1749760114.787283,-0.009082000,0.006400210,-0.000569200,0.001916590,0.001074720,0.008663570,0.002473080,0.000389090,1749760114.787282944,-0.009266555,0.006129957,-0.099549400,-0.088324368,-0.379672000,-0.029455600,-0.382439167,1.283320000,,,,,
1749760114.797749,-0.008958470,0.006624330,-0.000212947,0.000701389,0.001153050,0.008606420,0.002336830,0.000231709,1749760114.797749043,-0.009149648,0.006357662,-0.099622300,-0.088401966,-0.379575000,-0.029450700,-0.382343923,1.283360000,,,,,
1749760114.798000,,,,,,,,,,,,,,,,,,1749760114.798000097,0.000000000,0.000000000,0.000000000,0.300000000
1749760114.807408,-0.008864940,0.006819700,0.000174310,-0.000293233,0.001199700,0.008335140,0.002436200,0.000094222,1749760114.807408094,-0.009061664,0.006556044,-0.099698300,-0.088495150,-0.379481000,-0.029412900,-0.382248857,1.283420000,,,,,
1749760114.817321,-0.008757340,0.006991570,0.000509039,-0.001148110,0.001275640,0.008284150,0.002814400,-0.000032909,1749760114.817321062,-0.008958631,0.006731715,-0.099771300,-0.088601159,-0.379388000,-0.029333600,-0.382151019,1.283470000,,,,,
1749760114.818063,,,,,,,,,,,,,,,,,,1749760114.818063021,0.000000000,0.000000000,0.000000000,0.300000000
1749760114.827404,-0.008685200,0.007147150,0.000862280,-0.001656010,0.001195190,0.007160160,0.003250390,-0.000118179,1749760114.827404022,-0.008890455,0.006890157,-0.099848400,-0.088715911,-0.379295000,-0.029242100,-0.382052205,1.283520000,,,,,
1749760114.837155,-0.008626850,0.007310900,0.001219970,-0.002357740,0.000948173,0.004967060,0.003944560,-0.000236686,1749760114.837155104,-0.008835977,0.007056721,-0.099926700,-0.088847870,-0.379200000,-0.029108800,-0.381947695,1.283590000,,,,,
1749760114.838059,,,,,,,,,,,,,,,,,,1749760114.838058949,0.000000000,0.000000000,0.000000000,0.300000000
1749760114.847253,-0.008504410,0.007426350,0.001509760,-0.002950800,0.000662573,0.002659340,0.004487440,-0.000346425,1749760114.847253084,-0.008716099,0.007176718,-0.099995200,-0.088964172,-0.379110000,-0.028990400,-0.381849196,1.283640000,,,,,
1749760114.857552,-0.008443390,0.007560200,0.001713840,-0.004230330,0.000479091,0.001213350,0.004125690,-0.000561826,1749760114.857552052,-0.008659041,0.007312214,-0.100071000,-0.089039725,-0.379016000,-0.028998100,-0.381758118,1.283680000,,,,,
1749760114.858072,,,,,,,,,,,,,,,,,,1749760114.858072042,0.000000000,0.000000000,0.000000000,0.300000000
1749760114.867514,-0.008330280,0.007692400,0.001915560,-0.005197690,0.000273276,-0.000286824,0.003718110,-0.000744670,1749760114.867513895,-0.008549946,0.007447484,-0.100139000,-0.089103581,-0.378921000,-0.029016100,-0.381666733,1.283730000,,,,,
1749760114.877457,-0.008288930,0.007818120,0.002140230,-0.005725200,0.000088272,-0.001540490,0.003080190,-0.000873284,1749760114.877456903,-0.008512681,0.007573878,-0.100217000,-0.089163127,-0.378826000,-0.029071600,-0.381578986,1.283780000,,,,,
1749760114.878079,,,,,,,,,,,,,,,,,,1749760114.878078938,0.000000000,0.000000000,0.000000000,0.300000000
1749760114.887459,-0.008237750,0.007924150,0.002333820,-0.005905620,-0.000071184,-0.002532020,0.002892630,-0.000956747,1749760114.887459040,-0.008464577,0.007681381,-0.100292000,-0.089242172,-0.378733000,-0.029068000,-0.381487884,1.283830000,,,,,
1749760114.897473,-0.008186340,0.007989730,0.002511090,-0.005761270,-0.000246775,-0.003566360,0.002714150,-0.000994832,1749760114.897473097,-0.008415071,0.007748453,-0.100367000,-0.089320871,-0.378644000,-0.029065000,-0.381400833,1.283880000,,,,,
1749760114.898069,,,,,,,,,,,,,,,,,,1749760114.898068905,0.000000000,0.000000000,0.000000000,0.300000000
1749760114.907466,-0.008134390,0.008012820,0.002634970,-0.005320100,-0.000381889,-0.004250890,0.002074930,-0.000988351,1749760114.907465935,-0.008364326,0.007772493,-0.100441000,-0.089372161,-0.378561000,-0.029130800,-0.381325900,1.283920000,,,,,
1749760114.917405,-0.008106280,0.008085980,0.002753890,-0.004541330,-0.000581350,-0.005331220,0.001121190,-0.000928410,1749760114.917404890,-0.008339283,0.007845458,-0.100519000,-0.089407868,-0.378470000,-0.029248600,-0.381247746,1.283970000,,,,,
1749760114.918079,,,,,,,,,,,,,,,,,,1749760114.918078899,0.000000000,0.000000000,0.000000000,0.300000000
